date,time,DOY,Ta,Pa,RH,Td,Tc,Rn,LWin,LWout,SWin,SWout,PPFD,P_rain,MWS,WD,Ts_1_1_1,Ts_2_1_1,Ts_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,LE,H
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[Pa],[%],[C],[K],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[m/s],[Degrees_past_North],[K],[K],[K],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[W/m^2],[W+1M-2],[W+1M-2]
2014-01-02,12:30:00,2.5207,286.347,101447.0,54.4873,,286.347,,,,,,1562.22,0.0,6.09373,50.5967,285.723,284.706,283.81,0.601331,0.638249,0.253444,-6.45432,-4.40914,-3.86333,181.945,213.28
2014-01-02,13:00:00,2.5415,286.923,101438.0,52.0198,,286.923,,,,,,1687.16,0.0,6.74483,41.4049,285.863,284.738,283.826,0.599208,0.636419,0.252968,-5.9308,-3.96403,-3.59497,103.297,416.102
2014-01-02,13:30:00,2.5624,286.733,101448.0,52.9592,,286.733,,,,,,1301.99,0.0,7.10235,43.495,286.123,284.814,283.876,0.595485,0.633908,0.252265,-5.22956,-3.48097,-3.2992,164.437,328.808
2014-01-02,14:00:00,2.5832,286.639,101459.0,53.3571,,286.639,,,,,,1381.09,0.0,5.88909,54.5781,286.469,284.811,283.977,0.590596,0.632387,0.251458,-4.1326,-2.96827,-2.96887,148.251,184.284
2014-01-02,14:30:00,2.604,287.424,101454.0,49.5306,,287.424,,,,,,2132.49,0.0,5.9264,44.5602,286.604,284.845,283.957,0.588534,0.630772,0.251032,-2.67743,-2.45786,-2.63524,165.106,484.227
2014-01-02,15:00:00,2.6249,286.825,101456.0,55.0624,-26.1026,286.825,,,,,,2229.21,0.0,7.54726,43.8616,286.827,284.928,283.992,0.585297,0.628354,0.250278,-1.23531,-1.92667,-2.31264,168.157,489.825
2014-01-02,15:30:00,2.6457,286.989,101455.0,52.6958,,286.989,,,,,,1518.15,0.0,6.36696,53.3447,287.134,285.096,284.057,0.580954,0.624658,0.249442,0.18083,-1.2441,-2.0034,149.147,328.119
2014-01-02,16:00:00,2.6665,287.215,101460.0,50.6978,,287.215,,,,,,1419.49,0.0,6.94661,39.042,287.484,284.914,284.107,0.576031,0.625892,0.248893,1.78852,-0.371403,-1.71124,133.235,354.52
2014-01-02,16:30:00,2.6873,286.934,101496.0,53.2197,,286.934,,,,,,1256.36,0.0,4.83412,65.5241,287.767,285.335,284.145,0.572017,0.618637,0.248323,3.57291,0.608602,-1.42869,56.6425,461.828
2014-01-02,17:00:00,2.7082,285.887,101522.0,63.173,-20.4667,285.887,,,,,,1158.79,0.0,2.74083,161.517,288.027,285.849,284.213,0.568303,0.6105,0.247588,5.33905,1.50595,-1.15931,56.1615,466.232
2014-01-02,17:30:00,2.729,286.771,101507.0,51.9539,,286.771,,,,,,1181.08,0.0,5.62032,63.1556,288.19,285.668,284.255,0.565888,0.612166,0.246688,6.86618,2.17919,-0.886084,47.5611,320.035
2014-01-02,18:00:00,2.7498,286.013,101533.0,62.3093,,286.013,,,,,,890.322,0.0,2.88489,151.097,288.375,285.746,284.366,0.563147,0.610023,0.245819,7.98197,2.62886,-0.62372,127.508,191.438
